Latitude,Longitude,Time
23.5640533333,87.2835116667,11:16:46
23.5640366667,87.28356,11:16:47
23.5640216667,87.28361,11:16:48
23.5640083333,87.2836583333,11:16:49
23.5639966667,87.2837066667,11:16:50
23.563985,87.28374,11:16:51
23.5639716667,87.283755,11:16:52
23.5639566667,87.2837883333,11:16:53
23.56394,87.283805,11:16:54
23.5639233333,87.283805,11:16:55
23.5639033333,87.28382,11:16:56
23.5638833333,87.28382,11:16:57
23.5638616667,87.28382,11:16:58
23.5638383333,87.28382,11:16:59
23.5638183333,87.283805,11:17:00
23.5637966667,87.2837883333,11:17:01
23.5637816667,87.2837716667,11:17:02
23.56376,87.2837716667,11:17:03
23.56374,87.283755,11:17:04
23.563715,87.283755,11:17:05
23.5636916667,87.283755,11:17:06
23.5636716667,87.28374,11:17:07
23.5636433333,87.28374,11:17:08
23.5636183333,87.28374,11:17:09
23.5635933333,87.2837233333,11:17:10
23.5635616667,87.2837233333,11:17:11
23.5635333333,87.2837066667,11:17:12
23.563505,87.2837066667,11:17:13
23.5634716667,87.28369,11:17:14
23.563435,87.283675,11:17:15
23.5633983333,87.2836583333,11:17:16
23.5633583333,87.2836416667,11:17:17
23.5633166667,87.2836416667,11:17:18
23.5632716667,87.283625,11:17:19
23.5632316667,87.28361,11:17:20
23.5631866667,87.2835933333,11:17:21
23.5631416667,87.2835766667,11:17:22
23.5630966667,87.28356,11:17:23
23.5630533333,87.2835433333,11:17:24
23.5630083333,87.2835283333,11:17:25
23.5629666667,87.2835116667,11:17:26
23.5629216667,87.283495,11:17:27
23.5628816667,87.2834783333,11:17:28
23.5628416667,87.2834633333,11:17:29
23.5627966667,87.2834466667,11:17:30
23.562755,87.28343,11:17:31
23.562715,87.28343,11:17:32
23.5626783333,87.2834133333,11:17:33
23.562645,87.2833983333,11:17:34
23.5626166667,87.2833983333,11:17:35
23.5625883333,87.2833816667,11:17:36
23.56256,87.283365,11:17:37
23.5625316667,87.2833483333,11:17:38
23.5625066667,87.2833483333,11:17:39
23.5624783333,87.2833333333,11:17:40
23.56245,87.2833166667,11:17:41
23.5624266667,87.2833166667,11:17:42
23.5623966667,87.2833,11:17:43
23.5623733333,87.2833,11:17:44
23.5623483333,87.2833,11:17:45
23.562325,87.2832833333,11:17:46
23.5623033333,87.2832833333,11:17:47
23.56228,87.2832833333,11:17:48
23.562255,87.2832666667,11:17:49
23.56223,87.2832666667,11:17:50
23.5622066667,87.2832516667,11:17:51
23.5621866667,87.2832516667,11:17:52
23.562165,87.283235,11:17:53
23.562145,87.283235,11:17:54
23.562125,87.283235,11:17:55
23.562105,87.2832183333,11:17:56
23.5620766667,87.2832183333,11:17:57
23.5620516667,87.2832183333,11:17:58
23.5620233333,87.2832183333,11:17:59
23.56199,87.283235,11:18:00
23.5619616667,87.283235,11:18:01
23.5619333333,87.2832516667,11:18:02
23.5619016667,87.2832666667,11:18:03
23.5618733333,87.2832833333,11:18:04
23.5618433333,87.2833,11:18:05
23.5618116667,87.2833166667,11:18:06
23.5617833333,87.2833333333,11:18:07
23.561755,87.2833483333,11:18:08
23.5617266667,87.283365,11:18:09
23.5617016667,87.2833816667,11:18:10
23.5616766667,87.2833983333,11:18:11
23.5616566667,87.2833983333,11:18:12
23.5616316667,87.2834133333,11:18:13
23.5616083333,87.28343,11:18:14
