,zone_class,time_level,next_stop_distance,total_waiting_time,wifi_count,honks,Population_class,rsi,week_class,bus_stop,latitude,longitude
658,2.0,4.0,155.338622477,12.0,8.0,0.0,1.0,9.463272785714283,0.0,0.0,23.55927897,87.28475716
1368,1.0,4.0,518.0777528269999,4.0,9.0,0.0,1.0,9.199225,0.0,0.0,23.54414939,87.28816169
1019,0.0,2.0,417.34527374099997,9.0,9.0,0.0,2.0,8.414473740909093,0.0,0.0,23.49323848,87.31650425
1401,1.0,1.0,300.930288057,1.0,4.0,0.0,2.0,17.425697,0.0,0.0,23.55318594,87.28676899
959,0.0,3.0,423.982248909,27.0,6.0,0.0,1.0,8.386429705714285,0.0,1.0,23.50372666,87.30775227
1578,1.0,4.0,377.86796043,8.0,7.0,0.0,1.0,8.74097737,0.0,1.0,23.55250634,87.28698173
283,0.0,1.0,1528.91439457,56.0,2.0,0.0,2.0,8.861013900000003,0.0,0.0,23.51456398,87.31068857
797,1.0,3.0,254.195278348,18.0,6.0,6.0,0.0,8.919314282608697,1.0,1.0,23.55006809,87.28514173
1424,1.0,4.0,293.955302424,55.0,9.0,0.0,1.0,8.305699861538466,1.0,0.0,23.53518048,87.29766625
225,1.0,4.0,88.49320265680002,1.0,0.0,0.0,1.0,12.578644,0.0,0.0,23.52745769,87.31086319
26,2.0,1.0,573.435709043,3.0,0.0,0.0,1.0,8.2696761,1.0,0.0,23.55910895,87.28461721
1488,0.0,4.0,23.8857612127,17.0,5.0,0.0,1.0,8.555761744,1.0,0.0,23.49363099,87.31658728
437,1.0,2.0,160.486378916,2.0,0.0,0.0,1.0,6.363698333333335,0.0,0.0,23.54670861,87.28246286
1635,0.0,4.0,1325.97729537,2.0,0.0,0.0,1.0,8.937061499999997,0.0,0.0,23.49324049,87.31634178
229,1.0,4.0,27.126577484299997,11.0,6.0,0.0,1.0,8.709120741176474,0.0,0.0,23.53518693,87.29767705
37,0.0,4.0,67.0263165389,9.0,3.0,17.0,1.0,7.794886835294116,0.0,0.0,23.49995645,87.30639512
749,1.0,2.0,243.542355803,1.0,0.0,0.0,1.0,10.896721,0.0,0.0,23.52532055,87.3111941
1045,2.0,2.0,175.93750149599998,5.0,9.0,0.0,1.0,9.314852476470593,0.0,0.0,23.55911014,87.28469436
469,1.0,4.0,226.63722805900002,6.0,0.0,0.0,1.0,7.110207120000003,0.0,1.0,23.53754245,87.29678102
1454,1.0,4.0,156.441989151,20.0,17.0,0.0,1.0,9.229324745238095,0.0,0.0,23.53507168,87.29749902
1652,1.0,4.0,262.768832449,8.0,2.0,6.0,1.0,6.897866977777778,0.0,1.0,23.5426913,87.28656111
687,0.0,4.0,1016.83221472,1.0,5.0,0.0,1.0,9.3692165,0.0,0.0,23.50563788,87.30897143
1544,1.0,2.0,123.80573463299999,1.0,0.0,0.0,1.0,10.6704635,1.0,0.0,23.54260209,87.28678806
639,1.0,4.0,226.63722805900002,6.0,0.0,10.0,1.0,7.110207120000003,0.0,1.0,23.53754245,87.29678102
