Latitude,Longitude,Time
23.5642166667,87.28304,13:26:00
23.5642166667,87.28304,13:26:01
23.5642166667,87.28304,13:26:02
23.5642166667,87.28304,13:26:03
23.5642166667,87.28304,13:26:04
23.5642166667,87.28304,13:26:05
23.5642166667,87.28304,13:26:06
23.5642166667,87.28304,13:26:07
23.5642166667,87.28304,13:26:08
23.5642166667,87.28304,13:26:09
23.5642166667,87.28304,13:26:10
23.5642166667,87.28304,13:26:11
23.5642166667,87.28304,13:26:12
23.5642166667,87.28304,13:26:13
23.5642166667,87.28304,13:26:14
23.5642166667,87.28304,13:26:15
23.5642166667,87.28304,13:26:16
23.5642166667,87.28304,13:26:17
23.5642166667,87.28304,13:26:18
23.5642166667,87.28304,13:26:19
23.5642166667,87.28304,13:26:20
23.5642166667,87.28304,13:26:21
23.5642166667,87.28304,13:26:22
23.5642166667,87.28304,13:26:23
23.5642166667,87.28304,13:26:24
23.5642166667,87.28304,13:26:25
23.5642166667,87.28304,13:26:26
23.5642166667,87.28304,13:26:27
23.5642166667,87.28304,13:26:28
23.5642166667,87.28304,13:26:29
23.5642166667,87.28304,13:26:30
23.5642166667,87.28304,13:26:31
23.5642166667,87.28304,13:26:32
23.5642166667,87.28304,13:26:33
23.5642166667,87.28304,13:26:34
23.5642166667,87.28304,13:26:35
23.5642166667,87.28304,13:26:36
23.5642166667,87.28304,13:26:37
23.5642166667,87.28304,13:26:38
23.5642166667,87.28304,13:26:39
23.5642166667,87.28304,13:26:40
23.5642166667,87.28304,13:26:41
23.5642166667,87.28304,13:26:42
23.5642166667,87.28304,13:26:43
23.5642166667,87.28304,13:26:44
23.5642166667,87.28304,13:26:45
23.5642166667,87.28304,13:26:46
23.5642166667,87.28304,13:26:47
23.5642166667,87.28304,13:26:48
23.5642166667,87.28304,13:26:49
23.5642166667,87.28304,13:26:50
23.5642166667,87.28304,13:26:51
23.5642166667,87.28304,13:26:52
23.5642166667,87.28304,13:26:53
23.5642166667,87.28304,13:26:54
23.5642166667,87.28304,13:26:55
23.5642166667,87.28304,13:26:56
23.5642166667,87.28304,13:26:57
23.5642166667,87.28304,13:26:58
23.5642166667,87.28304,13:26:59
23.5642166667,87.28304,13:27:00
23.5642166667,87.28304,13:27:01
23.5642166667,87.28304,13:27:02
23.5642166667,87.28304,13:27:03
23.5642166667,87.28304,13:27:04
23.5642166667,87.28304,13:27:05
23.5642166667,87.28304,13:27:06
23.5642166667,87.28304,13:27:07
23.5642166667,87.28304,13:27:08
23.5642166667,87.28304,13:27:09
23.5642166667,87.28304,13:27:10
23.5642166667,87.28304,13:27:11
23.5642166667,87.28304,13:27:12
23.5642166667,87.28304,13:27:13
23.5642166667,87.28304,13:27:14
23.5642166667,87.28304,13:27:15
23.5642166667,87.28304,13:27:16
23.5642166667,87.28304,13:27:17
23.5642166667,87.28304,13:27:18
23.5642166667,87.28304,13:27:19
23.5642166667,87.28304,13:27:20
23.5642166667,87.28304,13:27:21
