Latitude,Longitude,Time
23.5641633333,87.2831366667,12:54:06
23.5641833333,87.2830883333,12:54:07
23.5641716667,87.2830716667,12:54:08
23.5641716667,87.28304,12:54:09
23.56416,87.2830233333,12:54:10
23.564155,87.28299,12:54:11
23.5641516667,87.282975,12:54:12
23.5641516667,87.282975,12:54:13
23.5641516667,87.282975,12:54:14
23.5641516667,87.282975,12:54:15
23.5641466667,87.282975,12:54:16
23.5641466667,87.2829583333,12:54:17
23.5641433333,87.282975,12:54:18
23.5641433333,87.282975,12:54:19
23.5641433333,87.28299,12:54:20
23.5641516667,87.28299,12:54:21
23.564155,87.2830066667,12:54:22
23.5641666667,87.2830066667,12:54:23
23.5641666667,87.2830066667,12:54:24
23.5641633333,87.28299,12:54:25
23.5641666667,87.28299,12:54:26
23.5641666667,87.28299,12:54:27
23.5641666667,87.28299,12:54:28
23.5641666667,87.2830066667,12:54:29
23.5641666667,87.2830066667,12:54:30
23.5641633333,87.2830066667,12:54:31
23.5641633333,87.2830066667,12:54:32
23.5641516667,87.2830233333,12:54:33
23.5641516667,87.28304,12:54:34
23.56416,87.28304,12:54:35
23.564155,87.28304,12:54:36
23.564155,87.28304,12:54:37
23.564155,87.28304,12:54:38
23.564155,87.28304,12:54:39
23.564155,87.28304,12:54:40
23.564155,87.28304,12:54:41
23.564155,87.28304,12:54:42
23.564155,87.28304,12:54:43
23.564155,87.28304,12:54:44
23.56416,87.28304,12:54:45
23.56416,87.28304,12:54:46
23.56416,87.283055,12:54:47
23.56416,87.283055,12:54:48
23.56416,87.283055,12:54:49
23.56416,87.283055,12:54:50
23.56416,87.283055,12:54:51
23.56416,87.283055,12:54:52
23.56416,87.283055,12:54:53
23.56416,87.283055,12:54:54
23.56416,87.283055,12:54:55
23.56416,87.283055,12:54:56
23.56416,87.283055,12:54:57
23.56416,87.283055,12:54:58
23.56416,87.28304,12:54:59
23.5641633333,87.28304,12:55:00
23.5641633333,87.28304,12:55:01
23.5641633333,87.28304,12:55:02
23.5641666667,87.28304,12:55:03
23.5641666667,87.28304,12:55:04
23.5641666667,87.28304,12:55:05
23.5641666667,87.28304,12:55:06
23.5641666667,87.28304,12:55:07
23.5641666667,87.28304,12:55:08
23.5641666667,87.28304,12:55:09
23.5641666667,87.28304,12:55:10
23.5641716667,87.28304,12:55:11
23.5641716667,87.28304,12:55:12
