Latitude,Longitude,Time
23.5651516667,87.28343,09:12:09
23.5651883333,87.283495,09:12:10
23.5652216667,87.2835433333,09:12:11
23.5652616667,87.28361,09:12:12
23.5653066667,87.2836583333,09:12:13
23.5653466667,87.2837233333,09:12:14
23.5653883333,87.2837883333,09:12:15
23.5654283333,87.2838366667,09:12:16
23.565465,87.2839016667,09:12:17
23.5655066667,87.2839516667,09:12:18
23.5655433333,87.2840166667,09:12:19
23.56558,87.284065,09:12:20
23.5656166667,87.28413,09:12:21
23.5656533333,87.2841783333,09:12:22
23.56569,87.2842283333,09:12:23
23.5657216667,87.2842766667,09:12:24
23.5657466667,87.284325,09:12:25
23.5657666667,87.284375,09:12:26
23.565775,87.2844066667,09:12:27
23.565775,87.28444,09:12:28
23.56577,87.2844716667,09:12:29
23.565755,87.2844883333,09:12:30
23.5657333333,87.284505,09:12:31
23.5657133333,87.284505,09:12:32
23.5656933333,87.284505,09:12:33
23.5656683333,87.2844883333,09:12:34
23.56564,87.2844716667,09:12:35
23.5656116667,87.28444,09:12:36
23.565575,87.2844233333,09:12:37
23.56553,87.28439,09:12:38
23.5654816667,87.284375,09:12:39
23.5654283333,87.284375,09:12:40
23.5653766667,87.2843583333,09:12:41
23.5653266667,87.2843416667,09:12:42
23.5652666667,87.284325,09:12:43
23.5652133333,87.2843083333,09:12:44
23.565165,87.2842933333,09:12:45
23.56512,87.2842766667,09:12:46
23.5650833333,87.28426,09:12:47
23.56505,87.2842433333,09:12:48
23.5650266667,87.2842433333,09:12:49
23.565005,87.2842283333,09:12:50
23.5649983333,87.2842283333,09:12:51
23.56499,87.2842283333,09:12:52
23.5649766667,87.2842283333,09:12:53
23.5649683333,87.2842116667,09:12:54
23.5649566667,87.2842116667,09:12:55
23.5649366667,87.2842116667,09:12:56
23.56492,87.284195,09:12:57
23.5649,87.284195,09:12:58
23.564875,87.2841783333,09:12:59
23.5648433333,87.2841633333,09:13:00
23.5648066667,87.2841466667,09:13:01
23.564765,87.2841466667,09:13:02
23.5647216667,87.28413,09:13:03
23.5646766667,87.2841133333,09:13:04
23.5646316667,87.2840966667,09:13:05
23.5645833333,87.2840816667,09:13:06
23.56453,87.284065,09:13:07
